,title,text,label
60814,Romania Points Out Flaws With U.S. Election To Encourage Citizens To Vote,"Tomorrow, the U.S. election will take place, and for most Americans, the day couldn’t come soon enough. People aren’t anticipating the 2016 election because they’re looking forward to seeing either... ",1
43714,Pinera leads Chile election with 36 percent after partial count,"SANTIAGO (Reuters) - Conservative Sebastian Pinera took an early lead in Chile s presidential election on Sunday evening, garnering 36.13 percent of votes, with 6.44 percent of ballots counted, Chile s electoral agency Servel said. Center-left Alejandro Guillier had 22.62 percent and leftist Beatriz Sanchez had 20.78 percent. Chileans were voting for a successor to President Michelle Bachelet. Sebastian Pinera, a former president, has long been the favorite to come in first but is not forecast to win the 50 percent of votes needed to avoid a December runoff. ",0
14336,Read the frustrating conversation a man had with his granny after accidentally phoning her,"Next Prev Swipe left/right Read the frustrating conversation a man had with his granny after accidentally phoning her Twitter user Big Daddy , also known as @YanniTsunami , has shared an awkward text conversation he had with his grandmother – because granny texts are a thing now – after he accidentally called her. 
The conversation went like this: 
Granny: What’s wrong Granny: Did u want anything or just wanted to talk Big Daddy: It was an accident Granny: Were u driving Big Daddy: I’m fine Granny: Who was driving Big Daddy: My mom is driving Granny: The car hurt",1
19639,Indian police arrest French journalist for filming in Kashmir,"SRINAGAR, India (Reuters) - An Indian court on Monday remanded in custody a French journalist for five days after he was arrested in the disputed Kashmir region for filming a documentary without permission and violating visa regulations, police said. The freelance journalist, Paul Comiti, was arrested on Sunday in Srinagar, the main city in Indian-administered Kashmir where Muslim separatists have been waging a violent campaign against  Indian rule since the late 1980s. Comiti held an Indian business visa which did not permit him to make a documentary on political or security-related issues, Senior Superintendent of Police Imtiyaz Ismael Parray told Reuters. Comiti had met a separatist leader, Mirwaiz Umar Farooq, and filmed protesters throwing stones at members of the security forces, said another senior police official, who declined to be identified as he is not authorized to speak to the media. He had also met victims of anti-riot  pellet guns  that the  security forces use against protesters. More than 3,800 people have been wounded and one killed by the weapons since a new round of protests against Indian rule erupted last year, with more than 100 partially or fully blinded, official figures show.  We called him to ask him about his activities, but he refused to present himself before the police,  the second police official said.  He was not authorized to film here because he was on a business visa. He was finally arrested.  Muslim-majority Kashmir is claimed in full but ruled in part by mostly Hindu India and Muslim Pakistan and has been at the heart of nearly seven decades of hostility between the neighbors. Comiti had asked the defense ministry for permission to  film in Kashmir, but it had been denied because he was on a business visa, said the second police official. A French Embassy s consular official based in New Delhi met Comiti at the police station in Srinagar, police said. An embassy spokesman was not available for comment. An insurgency by separatist militants raged in Kashmir through the 1990s and into the 2000s but it had died down more recently. But the killing by the security forces of a young, popular separatist leader in July 2016 sparked a new wave of protests by a new generation in India s only Muslim-majority state. India s interior minister said last year the government planned to reconsider the use of the pellet guns to control crowds, after the multiple casualties stirred public anger and condemnation by rights groups. ",0
48645," Sarah Palin Faceplants, Immediately Starts Speaking In Tongues About Hillary (IMAGE)","Half-term Governor of Alaska and professional grifter Sarah Palin faceplanted while  rock running  so naturally, she took to her Facebook account to bash Hillary Clinton. Sarah seems to think that Hillary is in hiding and she links to several Breitbart posts to prove it. Stop laughing. She s super-serious. We re not going to link to the Alt-Right site but those links are on her page.Sarah somehow connected her accident to Hillary Clinton. Leave Hillary Alone, Bullies,  Sarah sarcastically writes in her post. Aww, c mon guys, give her a break. Anyone can be out of commission . for weeks on end  whilst in the heat of battle for the highest office in the land. No press conferences for nearly a year?,  she continues.  No scheduled campaign events for days upon days? No statements, no answers, no accountability, no problem. Layin  low to run out the clock before November, but you re SEXIST for noticing it. And you re MISOGYNIST for questioning a female s fitness. Good thing media didn t hound the crap out of  08 candidate John McCain for his decades-old military medical records or I d guess them to be hypocrites,  she writes, with no respect for the English language. Leave Hillary alone! All that email-evidenced yoga, and wedding planning, and cookie-baking-grandma-duty wears you out. Believe you me,  she states. Seriously though, is that an actual sentence? Heck, even those of us claiming to be fit as a (seasoned?) fiddle, hit bumps in the wellness road. Even I. Especially I. (Remember Piper s middle name is  Grace ; mine isn t.),  she writes. Rock-running recently, I tripped over my own two feet and crashed & burned face-first. I recovered with the doc s SuperGlue, and now any man who asks  what happened?  I ll refer to as just a mean ol  SEXIST bully,  Palin continues. Glad for Hillary s protective media s precedence. The next woman running for POTUS has no need to answer to much of anything, for we ve got weddings to plan, and Down Dogs to do, and cookies in the oven! So just leave us alone, boys,  she concluded. We do not speak Turnip at Addicting Info, so it s beyond our capabilities to translate that psychotic woman s Facebook-babble. Sarah Palin is wrong and if she could master Googling then she d learn that Hillary Clinton has a full schedule ahead of her. Every single day. Sarah is feeding the conspiracy theory that Hillary is  unstable  and needs assistance walking up stairs.  The fact is, Hillary slipped while walking up the stairs. You know, sort of how Sarah Palin slipped while  rock running. Speaking of hiding, where are Donald Trump s taxes?We hope Sarah feels better, though. She seems to be suffering from a brain injury.Featured image via Facebook",1
49127,Russia expresses deep concern about North Korea nuclear test,"MOSCOW (Reuters) - The Russian foreign ministry said on Sunday it was deeply concerned about a reported nuclear test by North Korea. The ministry said on its website that the test was a defiance of international law and deserved condemnation. It urged all sides involved to hold talks, which it said was the only way to resolve the Korean peninsula s problems. ",0
50782,Mexican peso surges ahead of U.S. presidential debate,"MEXICO CITY (Reuters) - Mexico’s peso surged more than 1.8 percent against the dollar on Sunday ahead of the U.S. presidential debate, after comments Donald Trump made about women in a video created a storm around his campaign. The currency moved after markets in Asia began Monday trading. At 3 p.m. CDT (2000 GMT), the peso had strengthened 1.89 percent to 18.955 per dollar. Republican nominee Donald Trump has vowed he would build a wall on the border with Mexico and renegotiate or scrap the North American Free Trade Agreement if he is elected.  The United States is Mexico’s main trading partner and Wall Street analysts say concern over any potential trade restrictions have hurt the peso. ",0
61870,Obama says reducing leaker Chelsea Manning's prison term serves justice,"WASHINGTON (Reuters) - President Barack Obama said on Wednesday that former military intelligence analyst Chelsea Manning had served a tough prison term and his decision to commute her 35-year sentence to about seven years served would not signal leniency toward leakers of U.S. government secrets. Obama told his final news conference as president that he felt it made sense to commute Manning’s sentence because she went to trial, took responsibility for her crime and her sentence was disproportionate to those received by other leakers. “Chelsea Manning has served a tough prison sentence,” Obama said of his decision to reduce her sentence, which was announced Tuesday in a batch of 209 commutations and 64 pardons granted. “I feel very comfortable that justice has been served.”  Manning gave classified information of more than 700,000 documents, videos, diplomatic cables and battlefield accounts to anti-secrecy group WikiLeaks in 2010, the biggest such breach in U.S. history.  Congressional Republicans criticized the commutation as a dangerous precedent for leakers. Sean Spicer, the press secretary for President-elect Donald Trump, told reporters Wednesday it sent a “very troubling message.” Obama said the commutation was done without regard to WikiLeaks founder Julian Assange, who said on Twitter last Thursday that if Manning was freed, he would accept extradition to the United States, where there is an open criminal investigation into the activities of WikiLeaks.  “I don’t pay a lot of attention to Mr. Assange’s tweets,” Obama said, adding that he did not see a contradiction with his administration’s approach to Assange and Manning and referring more questions on WikiLeaks to the Justice Department. “What I can say broadly in this new cyber age, we’re going to have to continually work to find the right balance of accountability and openness and transparency that is the hallmark of our democracy, but also recognize that there are adversaries and bad actors out there who want to use that same openness in ways that hurt us,” Obama said. Barry Pollack, a U.S.-based lawyer for Assange, said in an email Wednesday that Obama’s commutation of Manning fell “well short” of what Assange sought because he had called for her “to receive clemency and be released immediately.” A U.S. official said the Justice Department was  investigating “civilian” individuals associated with the leaking of government secrets via WikiLeaks. “The Department of Justice is conducting an investigation and it remains ongoing. I am not able to provide any further information,” said Joshua Stueve, a spokesman for the U.S. Attorney’s office in Alexandria, Virginia. WikiLeaks returned to prominence during the 2016 U.S. presidential election, publishing hacked emails stolen from the Democratic National Committee and the accounts of senior Democrats.  U.S. intelligence agencies have concluded that Russian intelligence agencies were responsible for the hacks and that they were carried out as part of a campaign by Moscow to help Republican Donald Trump win and discredit Democrat Hillary Clinton. Obama said the intelligence agencies were not conclusive in their assessment of the hacks “whether WikiLeaks was witting or not in being a conduit” for Russia’s efforts to use cyber attacks to influence the election. Assange has said the Russian government was not the source of the emails. Manning, formerly known as U.S. Army Private First Class Bradley Manning, was born male but revealed after being convicted of espionage that she identifies as a woman. The White House said on Tuesday that her sentence would end on May 17 this year. Manning twice tried to kill herself last year and has struggled to cope as a transgender woman in the Fort Leavenworth, Kansas, men’s military prison. Her case became a rallying cause for civil liberties advocates who saw the punishment as too severe and an attempt to chill whistleblowers from speaking up about government misdeeds. ",0
7223,العراق يمنع الكحول,"العراق يمنع الكحول شبكة فولتير | 26 تشرين الأول (أكتوبر) 2016 français Español italiano Deutsch أقر البرلمان العراقي بجلسة مغلقة في 22 أكتوبر 2016، تعديلا على قانون البلديات، يقضي بحظر بيع واستيراد وإنتاج الكحول
اعتمد هذا الحظر لارضاء الإسلاميين عشية إطلاق تحرير الموصل المحتلة من قبل داعش .وينص القانون على غرامات من 8 إلى 20 ألف دولار لكل مخالف
بانظر إلى أن هذا القانون تمييزي بحق المسيحيين الذين يستخدمون النبيذ في إحياء القداس، فقد قرروا رفع دعوى ضد نص القانون أمام محكمة فدرالية
ترجمة
سعيد هلال الشريفي",1
30295, Secret Trump University Papers Reveal How Business Pumped ‘Students’ For Cash,"It is now clear why Donald Trump attacked the judge in the case overseeing lawsuits against his now-defunct Trump University.The judge ordered the company s internal sales documents to be released over Trump s objections, and what they have exposed is a business that preyed on people s dreams of wealth and success   based on Trump s own image cultivated over the decades  using trick language and sales gimmicks right out of the sleaziest  boiler room. The  playbooks  for the now-defunct business owned by Donald Trump, the presumptive Republican nominee for president, were unsealed Tuesday in a class-action lawsuit by customers who say they were defrauded. Last Friday, a judge who has earned Trump s scorn sided with attorneys for The Washington Post who argued that the public had a right to know what was previously confidential.The documents outline how employees should guide customers through  the roller coaster of emotions  once they have expressed interest. The motivation that they experienced can die quickly as the realities of their daily lives take over. It is our job to rekindle that motivation   to make them once again see the potential of achieving their dream,  according to a  sales playbook. The documents show how, rather than a real estate sales course, the Trump University system was designed to push people to pay for ever-increasing levels which they were told would lead to more and more lucrative business. In fact, as the lawsuits show, many were very unsatisfied with the experience. Even more damning is the fact that the business doesn t even exist anymore, but is just another scheme that Trump slapped his name on in order to make a quick buck then ran away when it got complicated.Trump was apparently so concerned about the information in the sales documents coming out that he rescheduled the press conference he had to address his failure to give money to veterans groups to the same day the Trump University documents came out.Featured image via Flickr",1
