,title,text,label
51624,Trump: Hillary Clinton may be 'most corrupt person ever' to run for president,"Email 
Donald Trump’s campaign debuted a dark new attack ad on Tuesday, looking to further its portrayal of Hillary Clinton as a corrupt politician and doubling down on allegations that she grew wealthy through “pay-to-play politics.”The TV spot hits Clinton, the Democratic presidential nominee, on controversies related to her family’s foundation, stating that “staggering amounts of cash poured into the Clinton Foundation from criminals, dictators, countries that hate America” and that “Hillary cut deals for donors.” 
Clinton’s charitable foundation has faced intense scrutiny this election over concerns about possible conflicts of interest because it took in money from corporations and foreign governments. Clinton has repeatedly denied, however, that her work as secretary of state was compromised by the foundation’s work or that she gave any special privileges to its donors.The Clintons have also said that the foundation, which contributes to AIDS relief abroad, among other charitable causes, will cease taking money from corporations and foreign governments if she is elected president.Still, the ad from the Republican nominee claims that Clinton “sold out American workers, exploited Haitians in need, she even gave American uranium rights to the Russians.”“Hillary Clinton only cares about power, money and herself,” its voice over concludes.The advertisement is another instance of Trump, an embattled candidate in an already divisive race, going on the offensive as the presidential campaign enters its final weeks. As Trump trails in the polls and high-profile Republicans abandon him, he has attacked Clinton and her husband’s character, going so far as to bring women who had accused Bill Clinton of sexual misconduct to watch the second debate in St. Louis last weekend.Some Republicans had called for him to drop out of the race after a 2005 recording emerged showing him bragging about sexual assault last week. But, attacking even Republican establishment figures like Speaker Paul Ryan and Arizona Sen. John McCain, Trump has promised to plow forward, and some observers suggest he has little to lose.“It is so nice that the shackles have been taken off me and I can now fight for America the way I want to,” he tweeted on Tuesday.",1
26614,GREAT VIDEO! THE SILENT MAJORITY SPEAKS UP!,Real Americans speak out about what s happening in America-you ll love this!  Bout time! ,1
67385,BREAKING NEWS: Reince Priebus Makes Early Return Home From Trump’s First Foreign Trip,"The White House confirmed to FOX Business that Priebus would be heading back to Washington D.C. after the stop in Saudi Arabia, part of the president s visit to the Middle East, and insisted this was always part of the administration s plan.Natalie Strom, assistant press secretary at the White House, told FOX Business,  It has always been planned for Reince to return to Washington following the Saudi Arabia portion of the trip. It s a big week in D.C. for the president s agenda with our budget release coming soon and discussions continuing on tax reform, so he s needed back at home for that. When asked which other officials would be coming home, Strom said,  Only a few senior administration officials are staying on for the whole trip, which is typical for these kinds of trips. They re attending the stops that most pertain to their responsibilities. Off the top of my head I know that Secretary [of State] Tillerson and General McMaster won t be on for the entirety. As FOX Business reported Friday, Priebus s position in the White House is once again in jeopardy as National Economic Council Director Gary Cohn and Office of Management and Budget Director Mick Mulvaney are a few of the candidates under consideration to replace him if the president decides to go that route, according to sources close to the situation.On Friday, the White House did not deny the possibility that Priebus could be replaced.While the administration may believe it s typical for some officials to stay and others to head home, according to experts outside the White House, it s unusual for a chief of staff to head home early on such an important trip.   FOX Business ",1
3451,BROKE: Democrat Party Wants $20 Million Taxpayer Dollars," Does this surprise anyone? The party that can t handle its finances is begging for YOUR tax dollars! With only $4.7 million available, it s gonna be difficult to throw a coronation for Hillary. Already struggling with finances, the Democratic Party has drafted a plan to have taxpayers help pay about $20 million for next summer s nominating convention, reversing a change Congress approved just a year ago.Democratic National Committee Chairwoman Debbie Wasserman Schultz, who is also a congresswoman from Florida, has drafted a bill to restore money that both parties used to receive from the federal government to help defray the costs of running their quadrennial conventions.The Congressional Budget Office revealed the move in a letter released Friday, which said Ms. Wasserman Schultz s proposal to tap a presidential campaign fund would likely mean each party could get about $20 million in taxpayer money to help with costs.The DNC is facing tough financial circumstances. The latest report shows it had just $4.7 million in cash on hand as of Oct. 31, less than the $6.9 million in debts the committee reported. By contrast, the Republican National Committee reported $20.4 million in cash, offset by $1.9 million in debts.Neither the DNC nor Ms. Wasserman Schultz s congressional office returned messages seeking comment on her plans.Republican National Committee spokeswoman Allison Moore said the party doesn t need the help.Read more: WT",1
59370,"Gohmert: Obama DOJ, Not the Russians, Tried to Influence Presidential Election - Breitbart","In an appearance on Fox News Channel’s “America’s News HQ” on Sunday, Rep. Louis Gohmert ( ) said that if anyone interfered with the 2016 presidential election, it wasn’t the Russians but the Department of Justice.  He specifically named former Attorney General Loretta Lynch and former FBI Director James Comey. Gohmert referred to Comey’s testimony last week before the Senate Intelligence Committee where he said Lynch had told him to refer to the FBI’s investigation into Hillary Clinton’s mishandling of classified information as a “matter,” rather than an “investigation,” even though Clinton was under investigation. Comey said that led him to publicly announce the end of the Clinton investigation in July 2016. “At best, it was an attempt to manipulate the election, not by the Russians in this case, but by the Department of Justice  —   the Attorney General herself  —   because that came from Comey,”  Gohmert said. “[Comey] totally ruined his own credibility  —   or what was left of it,” Gohmert said. “He did vast damage and raised big red flags and questions over Loretta Lynch’s job as head of the Justice Department. “[Lynch] was using her official position to help the campaign of Hillary Clinton and that didn’t seem to bother him enough to do a memo,” Gohmert said. Gohmert said this should be the subject of a congressional investigation. “We need to round up all those people [Comey] talked to  —   because we have a conspiracy remaining afoot in the Department of Justice that is going to be out to destroy this president and they’ve got to be fired if not worse. ” Follow Penny Starr on Twitter @PennyStarrDC",0
2991,"WOW! GOP ELITISTS Get Hammered: “‘Weak-Kneed, Lily-Livered Republicans’ Put on ‘Despicable Display of Cowardice’ by Abandoning Trump”","The list of pathetic sore losers and RINO s in the GOP who have said they won t support Trump seemed to be growing longer and longer after the private, inappropriate comments Trump made 11 years ago became public. After last night s debate, I wonder how many of them wish they could take it back. Trump handled the discussion about what he called  embarrassing  behavior better than most of us expected. We all make mistakes. He was a private citizen who was having some boy talk on a bus. He used some bad words and regrets it. He never laid a hand on anyone, but the sore losers who Trump crushed in the primaries and other RINO s like Mitt Romney are using this opportunity to destroy Trump s chances at winning while elevating Hillary s. Unlike the Dems, who surround and shield members of their party to the end, these turncoats Republicans are not team players Sam Clovis, co-chairman of Donald Trump s presidential campaign, reviewed Sunday night s second presidential debate on Monday morning s Breitbart News Daily with SiriusXM host Alex Marlow. I thought we did really well,  said Clovis.  I thought the first 15 minutes or so were pretty much as predicted, a little rocky, to be honest, but I think from that moment on, I don t think there s any question who was in charge, and I think he really had Mrs. Clinton on the defensive for most of the rest of the debate. Clovis disputed the notion that Clinton came to the debate to  talk about the issues. She s done everything she can to avoid the issues,  he said,  because her tax plan sucks. Her record in foreign policy sucks. She has no love for the military. She s a criminal, and she ought to be in prison. I mean, I m just being blunt: this is a woman who ought to be in prison right now. If you or I had done what she has done, we would be in handcuffs in an orange suit, and we would be in a maximum security federal prison right now. Clovis said it was  absolute nonsense  to construe Trump s call for a special prosecutor during the debate as a banana republic-style threat to jail his political opponent. Director Comey has already come out and said she essentially lied to the FBI,  he noted.  Martha Stewart lied to the FBI, and she went to prison. If Hillary Clinton lied to the FBI, she ought to be prosecuted. And right now, what we have is, we have a deal struck by the Clinton campaign with the Obama administration, and I think if push comes to shove, I think Obama will pardon her before this thing gets out of hand because if they think anything is going to reveal that she has committed more criminal acts than she already has, then I think he ll pardon her. I really do. I think this is in the works. And I don t think the American people are really fooled by this. What we re talking about is establishing the rule of law, and the rule of law applies to everyone. That includes the former secretary of state,  Clovis declared.Marlow asked how the Trump campaign planned to strategize around the intense media focus on his  hot mic  lewd remarks,  considering that even the Republican Party is now destroying Donald Trump over these comments. Well, I think again it goes to the substance of what we have is, we have a vulnerability in the campaign,  Clovis replied, adding,  This is a vulnerability. Let s make no mistake. Let s be honest about this. We have a situation here, comments that were made 11 years ago. They were recorded, and they ve come back to haunt the candidate. The candidate has apologized for those remarks. And I think what it goes to is the fact that they don t want to focus on policy. They don t want to focus on the substance of the issues because the establishments of the Republican Party and the Democrat Party writ large are deeply threatened by a populist movement in this country. I really think this is why you see these weak-kneed, lily-livered Republicans out here   I have other words, but I can t use them on the radio   that go to the heart of what I think is a despicable display of cowardice on the part of the Republican Party over this whole issue. We don t need to defend the comments. I think the comments were bad, and frankly, if my son had said something like that, I d have taken him back to the woodshed. I don t have any problems talking about that and saying that because that s what I think of the comments. The other side of it is, the comments aren t what we re after. What we re after is the substance of who s going to lead this country. And that s what we ought to be focused on because the alternative of having Hillary Clinton as President of the United States is just too terrible to contemplate.   Breitbart News",1
21795,FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares: “Black Lives Matter!”…Blames Deaths Of Cops On Cops,"This is a great story for anyone who doesn t understand the power one liberal judge can wield from the bench. U.S. District Judge Robart, who is presiding over a 2012 consent decree requiring the city to adopt reforms to address federal allegations of police bias, rebuked the Seattle police union for holding up reforms as it bargains over a new contract, The Seattle Times reported. The court and the citizens of Seattle will not be held hostage for increased payments and benefits,  the judge said, according to the paper. To hide behind a collective-bargaining agreement is not going to work,  he said.Kevin Stuckey, who recently became president of the Seattle Police Officers  Guild, said the union is prepared to sit down with the city and reach a deal.Judge Robart, a George W. Bush appointee, said proposed police reform legislation should include putting a civilian in charge of police oversight, shutting down a police-led disciplinary board and creating a civilian position of inspector general.Judge Robart threatened to call a hearing and override the city s bargaining process with the union if he concluded the union was interfering with reform, The Times reported. The judge ended Monday s hearing by citing a statistic that claimed 41 percent of the shootings nationwide by police were of blacks.  Black lives matter,  he said, drawing an audible reaction in a courtroom, The Times reported.Judge Robart added that the recent targeted shootings of police officers across the country signaled the importance of strengthening police and community relations.Commissioner Enrique Gonzalez said he s  very encouraged that a federal judge has actually said that black lives matter, because now we know that not only is this movement happening in the streets   even a federal judge has acknowledged that people of color have been on the receiving end of police brutality and this needs to change,  The Stranger reported.  Washington Times",1
61878,Saudi cleric suspended over 'quarter-brain' women drivers quip,"DUBAI (Reuters) - A Saudi cleric who said women should not drive because their brains shrink to a quarter the size of a man s when they go shopping has been banned from preaching, state television said. Saad al-Hijri was suspended from all religious activity after advising against allowing women to drive in a speech that contained comments  diminishing human value , the broadcaster quoted a spokesman for the governor of Asir province as saying. Ultra-conservative Saudi Arabia is the only country in the world that bans women from driving, despite ambitious government targets to increase their public role, especially in the workforce. Women in the kingdom are also bound by law to wear long robes and a headscarf and require the consent of a male guardian for most legal actions. In a video identifying him as the head of the religious edicts department in the southern province, Hijri asked what the traffic department would do it if it discovered a man with only half a brain.  Would it give him a license or not? It would not. So how can it give it to a woman when she has only half?  he said.  If she goes to the market she loses another half. What is left? A quarter...We demand the traffic department check because she is not suitable to drive and she has only a quarter.  The comments sparked anger on social media, which is hugely popular in the kingdom. Twitter users shared the video, many criticising it and making jokes about his remarks, under the Arabic hashtag  Al-Hijri_women_quarter_brain  Some users posted pictures of Saudi female scientists and academics in response and questioned Hijri s own intellectual capacities. His suspension, ordered by the provincial governor, was aimed at preventing the spread of views that spark controversy and do not serve the national interest, the provincial spokesman said, according to Ekhbariya TV s official Twitter account. Any others who used religious platforms to preach such views would also be banned. The government s modernizing reforms, backed by Saudi Arabia s business class, have sparked tensions with influential clerics upon whose support the ruling family relies. Some clerics have millions of followers on social media. ",0
32103,"OOPS! Media Forgot Ted Kennedy Asked Russia To Intervene In Election, Help Defeat Ronald Reagan","In 1991 a reporter for the London Times found a very interesting memorandum composed in 1983 by Victor Chebrikov, the top man in the KGB.  The memo was addressed to Yuri Andropov, the top man in the USSR.  The subject: Sen. Edward KennedyThe memorandum reads in part:  On 9-10 May of this year, Sen. Edward Kennedy s close friend and trusted confidant [John] Tunney was in Moscow.  The senator charged Tunney to convey the following message, through confidential contacts, to the General Secretary of the Central Committee of the Communist Party of the Soviet Union, Y. Andropov. The message included an offer to visit Moscow  The main purpose of the meeting, according to the senator, would be to arm Soviet officials with explanations regarding problems of nuclear disarmament so they may be better prepared and more convincing during appearances in the USA.   Kennedy was offering to help Soviet Russia deal with President Reagan, by telling them how to paint their propaganda picture.Via Forbes: The document,  Kengor continues,  has stood the test of time. I scrutinized it more carefully than anything I ve ever dealt with as a scholar. I showed the document to numerous authorities who deal with Soviet archival material. No one has debunked the memorandum or shown it to be a forgery. Kennedy s office did not deny it. As part of the deal, Kennedy promised to make sure that certain American news networks gave Andropov air time and would go soft on him while still making it look like true journalism.Why would Kennedy do this, you might ask? Tunney remarked that the senator wants to run for president in 1988,  the memorandum continued.  Kennedy does not discount that during the 1984 campaign, the Democratic Party may officially turn to him to lead the fight against the Republicans and elect their candidate president. So apparently, if a democratic senator actually seeks out help from Soviet Russia to beat his opponent, that s ok, but if a Republican cabinet member so much as has contacts in Russia, the gloves come off.(Source: Forbes)",1
29516,"For The Small Price Of $2.3 Million, You Could Own This Beautiful, Self-Sufficient Island","For The Small Price Of $2.3 Million, You Could Own This Beautiful, Self-Sufficient Island Posted on Subscribe to our mailing list and get interesting stuff and updates to your email inbox. Thank you for subscribing. We respect your privacy and take protecting it seriously x 
By Brianna Acuesta This island costs less than most celebrity homes. 
A Scottish island by the name of Tanera Mor is for sale, as its permanent residents recently moved out and put the island, along with its cafe, post office, schoolhouse, and 9 homes, on the market. 
The island boasts stunning views, traditional houses that have been recently restored, and self-sufficiency that is unmatched on other islands. 
The 760-acre isle is powered by wind turbines and generators and has a freshwater treatment plant. It’s part of a group of other islands called the Summer Isles and has an established tourism business that brings in a bit of revenue. 
This particular island is the biggest in the isles and is located just 1.5 miles away from the Scottish coast. 
The scenery itself is reason enough to buy this island, or any of the three lots that are being offered separately. It’s got 7 miles of cliffs, coves, and beaches to meander and relax on and you can walk across the whole island easily because it’s only 1.6 miles long. 
Over 164,000 native trees were recently planted to combat severe winds, giving the island a more natural feel. Despite the winds, the surrounding waters are said to be ideal for aquatic hobbies such as sailing, fishing, and diving; there’s even a historic pier to utilize for some of these activities. Also listed on the website for this property is that it’s common to look out and see porpoises, dolphins, basking sharks, and otters close by. 
Included in the sale are four neighboring small islands that are completely uninhabited but contain tidal pools and other treasures. Considering a nice apartment in a big city like Manhattan costs just as much and has considerably less space, this deal may seem like a steal. While you might be giving up that city vibe, you’d be replacing it with amazing views and a relaxing life. 
Would you consider buying this island? Please share, like, and comment on this article! 
Featured Image Credit: Tim Winterburn 
This article ( For The Small Price Of $2.3 Million, You Could Own This Beautiful, Self-Sufficient Island ) via NB is free and open source. You have permission to republish this article under a Creative Commons license with attribution to the author and TrueActivist.com Tags:",1
